q0_w	q0_x	q0_y	q0_z	q1_w	q1_x	q1_y	q1_z	q2_w	q2_x	q2_y	q2_z	q3_w	q3_x	q3_y	q3_z	q4_w	q4_x	q4_y	q4_z	
0.926858	-0.031120	-0.049763	0.370562	0.975763	-0.009084	-0.014789	0.217740	0.999921	-0.008682	0.001288	-0.004134	0.980592	0.029949	0.003201	-0.193316	0.943382	-0.019528	0.066271	-0.324267
0.914122	-0.030969	-0.053710	0.400491	0.972020	-0.011099	-0.017467	0.233728	0.999864	-0.010490	0.001599	-0.003976	0.974424	0.021646	0.004678	-0.223361	0.921167	-0.024975	0.076735	-0.380532
0.884312	-0.040731	-0.065080	0.460336	0.968655	-0.014870	-0.019294	0.246924	0.999848	-0.012144	0.001456	-0.003667	0.971066	0.021605	0.004644	-0.237567	0.909254	-0.027075	0.083372	-0.406775
0.868563	-0.039964	-0.071407	0.488639	0.961124	-0.012375	-0.022437	0.274662	0.999856	-0.014396	0.001127	-0.002667	0.967535	0.020779	0.005779	-0.251466	0.896887	-0.026185	0.087253	-0.432655
0.852015	-0.042904	-0.077742	0.515788	0.957461	-0.010973	-0.022851	0.287255	0.999846	-0.015316	0.001066	-0.002570	0.964312	0.020273	0.006102	-0.263571	0.882877	-0.029204	0.093396	-0.459118
0.835773	-0.042668	-0.083355	0.540947	0.953193	-0.009591	-0.023457	0.301104	0.999811	-0.016164	0.000916	-0.002114	0.956757	0.017856	0.004866	-0.290095	0.854290	-0.023513	0.098615	-0.509719
0.802128	-0.042206	-0.091497	0.588483	0.948961	-0.008711	-0.022983	0.314304	0.999773	-0.018316	0.000761	-0.001970	0.953501	0.015686	0.004875	-0.300775	0.837840	-0.028926	0.102715	-0.535235
0.784307	-0.044139	-0.095620	0.611263	0.941175	-0.009788	-0.020807	0.336941	0.999702	-0.022856	0.001009	-0.002432	0.950263	0.013933	0.002975	-0.310842	0.819836	-0.029964	0.106071	-0.561786
0.766645	-0.044703	-0.098915	0.632712	0.936880	-0.010670	-0.020961	0.348637	0.999631	-0.025549	0.000955	-0.002259	0.947067	0.010115	0.002955	-0.320750	0.800961	-0.031490	0.109216	-0.587710
0.748064	-0.047019	-0.102180	0.653926	0.932987	-0.011942	-0.021245	0.358969	0.999546	-0.028619	0.000880	-0.002257	0.940931	0.000922	0.003888	-0.338432	0.760912	-0.037049	0.118397	-0.636769
